"gastroenteritis","vomiting;sunken_eyes;dehydration;diarrhoea;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"bronchial asthma","fatigue;cough;high_fever;breathlessness;family_history;mucoid_sputum;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hypertension","headache;chest_pain;dizziness;loss_of_balance;lack_of_concentration;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;blood_in_sputum;muscle_pain"
"migraine","acidity;indigestion;headache;blurred_and_distorted_vision;excessive_hunger;stiff_neck;depression;irritability;visual_disturbances;yellowing_of_eyes;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"cervical spondylosis","back_pain;weakness_in_limbs;neck_pain;dizziness;loss_of_balance;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"paralysis (brain hemorrhage)","vomiting;headache;weakness_of_one_body_side;altered_sensorium;high_fever;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"jaundice","itching;vomiting;fatigue;weight_loss;high_fever;yellowish_skin;dark_urine;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"malaria","chills;vomiting;high_fever;sweating;headache;nausea;diarrhoea;muscle_pain;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum"
"chicken pox","itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise;red_spots_over_body;irritability;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"dengue","skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes;back_pain;malaise;red_spots_over_body;chest_pain;blood_in_sputum;muscle_pain"
"typhoid","chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos);belly_pain;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hepatitis a","joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes;muscle_pain;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum"
"hepatitis b","itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise;receiving_blood_transfusion;receiving_unsterile_injections;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hepatitis c","fatigue;yellowish_skin;nausea;loss_of_appetite;yellowing_of_eyes;family_history;abdominal_pain;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hepatitis d","joint_pain;vomiting;fatigue;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hepatitis e","joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes;acute_liver_failure;coma;stomach_bleeding;chest_pain;blood_in_sputum;muscle_pain"
"alcoholic hepatitis","vomiting;yellowish_skin;abdominal_pain;swelling_of_stomach;distention_of_abdomen;history_of_alcohol_consumption;fluid_overload;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"tuberculosis","chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever;yellowing_of_eyes;swelled_lymph_nodes;malaise;phlegm;chest_pain;blood_in_sputum;muscle_pain"
"common cold","continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation;redness_of_eyes;sinus_pressure;runny_nose;congestion;chest_pain;loss_of_smell;muscle_pain"
"pneumonia","chills;fatigue;cough;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain;fast_heart_rate;rusty_sputum;irritability;abnormal_menstruation;blood_in_sputum;muscle_pain"
"dimorphic hemmorhoids(piles)","constipation;pain_during_bowel_movements;pain_in_anal_region;bloody_stool;irritation_in_anus;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"heart attack","vomiting;breathlessness;sweating;chest_pain;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;blood_in_sputum;muscle_pain"
"varicose veins","fatigue;cramps;bruising;obesity;swollen_legs;swollen_blood_vessels;prominent_veins_on_calf;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hypothyroidism","fatigue;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties;depression;irritability;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"hyperthyroidism","fatigue;mood_swings;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability;abnormal_menstruation;malaise;chest_pain;blood_in_sputum;muscle_pain"
"hypoglycemia","vomiting;fatigue;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;slurred_speech;irritability;palpitations;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"osteoarthristis","joint_pain;neck_pain;knee_pain;hip_joint_pain;swelling_joints;painful_walking;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"arthritis","muscle_weakness;stiff_neck;swelling_joints;movement_stiffness;painful_walking;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"(vertigo) paroymsal  positional vertigo","vomiting;headache;nausea;spinning_movements;loss_of_balance;unsteadiness;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"acne","skin_rash;pus_filled_pimples;blackheads;scurring;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"urinary tract infection","burning_micturition;bladder_discomfort;foul_smell_of urine;continuous_feel_of_urine;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"psoriasis","skin_rash;joint_pain;skin_peeling;silver_like_dusting;small_dents_in_nails;inflammatory_nails;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
"impetigo","skin_rash;high_fever;blister;red_sore_around_nose;yellow_crust_ooze;headache;nausea;abdominal_pain;yellowing_of_eyes;irritability;malaise;abnormal_menstruation;chest_pain;blood_in_sputum;muscle_pain"
